,content,label
0,"Hi Peter,

With Jose out of town, do you want to
meet once in a while to keep things
going and do some interesting stuff?

Let me know
Eugene",0
1,"Yay to you both doing fine!

I'm working on an MBA in Design Strategy at CCA (top art school.)  It's a new program focusing on more of a right-brained creative and strategic approach to management.  I'm an 1/8 of the way done today!",0
2,"WHat is going on there?
I talked to John on email.  We talked about some computer stuff that's it.

I went bike riding in the rain, it was not that cold.

We went to the museum in SF yesterday it was $3 to get in and they had
free food.  At the same time was a SF Giants game, when we got done we
had to take the train with all the Giants fans, they are 1/2 drunk.",0
3,"Yo.  I've been working on my running website.  I'm using jquery and the jqplot plugin.  I'm not too far away from having a prototype to launch.  

You used jqplot right?  If not, I think you would like it.",0
4,"There was a guy at the gas station who told me that if I knew Mandarin
and Python I could get a job with the FBI.",0
5,"Hello,

Since you are an owner of at least one Google Groups group that uses the customized welcome message, pages or files, we are writing to inform you that we will no longer be supporting these features starting February 2011. We made this decision so that we can focus on improving the core functionalities of Google Groups -- mailing lists and forum discussions.  Instead of these features, we encourage you to use products that are designed specifically for file storage and page creation, such as Google Docs and Google Sites.

For example, you can easily create your pages on Google Sites and share the site (http://www.google.com/support/sites/bin/answer.py?hl=en&answer=174623) with the members of your group. You can also store your files on the site by attaching files to pages (http://www.google.com/support/sites/bin/answer.py?hl=en&answer=90563) on the site. If youæŠ®e just looking for a place to upload your files so that your group members can download them, we suggest you try Google Docs. You can upload files (http://docs.google.com/support/bin/answer.py?hl=en&answer=50092) and share access with either a group (http://docs.google.com/support/bin/answer.py?hl=en&answer=66343) or an individual (http://docs.google.com/support/bin/answer.py?hl=en&answer=86152), assigning either edit or download only access to the files.

you have received this mandatory email service announcement to update you about important changes to Google Groups.",0
6,"Zach Hamm commented on your status.

Zach wrote:
""doggy style - enough said, thank you & good night""


",0
7,"This e-mail was sent from a notification-only address that cannot accept incoming e-mail. Please do not reply to this message.

Thank you for your online reservation. The store you selected has located the item you requested and has placed it on hold in your name. Please note that all items are held for 1 day.  Please note store prices may differ from those online.

If you have questions or need assistance with your reservation, please contact the store at the phone number listed below. You can also access store information, such as store hours and location, on the web at http://www.borders.com/online/store/StoreDetailView_98.",0
8,"Hi Peter,

These are the only good scenic ones and it's too bad there was a girl's back in one of them. Just try to enjoy the blue sky : ))

D",0
9,"Ryan Whybrew commented on your status.

Ryan wrote:
""turd ferguson or butt horn.""
",0
10,"Arvind Thirumalai commented on your status.

Arvind wrote:
""""you know""""


Reply to this email to comment on this status.

",0
11,"Thanks Peter.

I'll definitely check in on this. How is your book
going? I heard chapter 1 came in and it was in 
good shape. ;-)

I hope you are doing well.

Cheers,

Troy",0
12,"Jay Stepp commented on your status.

Jay wrote:
""""to the"" ???""


Reply to this email to comment on this status.

To see the comment thread, follow the link below:

",0
13,"LinkedIn

Kerry Haloney requested to add you as a connection on LinkedIn:

Peter,

I'd like to add you to my professional network on LinkedIn.

- Kerry Haloney
 
",0
14,"Hi Peter,
 
The hotels are the ones that rent out the tent. They are all lined up on the hotel grounds : )) So much for being one with nature, more like being one with a couple dozen tour groups and nature.
I have about 100M of pictures from that trip. I can go through them and get you jpgs of my favorite scenic pictures.
 
Where are you and Jocelyn now? New York? Will you come to Tokyo for Chinese New Year? Perhaps to see the two of you then. I will go to Thailand for winter holiday to see my mom : )
 
Take care,
D
",0
15,yeah I am ready.  I may not be here because Jar Jar has plane tickets to Germany for me.  ,0
16,"Benoit Mandelbrot 1924-2010

Benoit Mandelbrot 1924-2010

Wilmott Team

Benoit Mandelbrot, the mathematician, the father of fractal mathematics, and advocate of more sophisticated modelling in quantitative finance, died on 14th October 2010 aged 85.

Wilmott magazine has often featured Mandelbrot, his ideas, and the work of others inspired by his fundamental insights.

You must be logged on to view these articles from past issues of Wilmott Magazine.",0
17,"Hi Peter,

    Sure thing.  Sounds good.  Let me know what time would be good for you.
I will come prepared with some ideas and we can go from there.

Regards,

-Vivek.",0
18,"LinkedIn

Julius O requested to add you as a connection on LinkedIn:

Hi Peter.

Looking forward to the book!

 
Accept 	View invitation from Julius O
",0
